sensor_id,timestamp,lectura,unidad,estado,ubicacion
VALV-LUJAN-001,11:41:47,60.0,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:49,60.26,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:50,60.69,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:51,60.22,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:52,59.44,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:53,59.27,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:54,60.1,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:55,59.63,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:56,60.27,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:57,60.14,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:58,60.66,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:41:59,59.98,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:00,60.84,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:01,61.01,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:02,60.85,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:03,60.77,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:04,62.19,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:05,62.03,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:06,62.05,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:07,62.15,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:08,62.82,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:09,62.36,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:10,63.22,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:11,63.0,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:12,63.29,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:13,63.27,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:14,63.89,Celsius,NORMAL,"Lujan de Cuyo, Mendoza"
VALV-LUJAN-001,11:42:15,64.1,Celsius,ADVERTENCIA,"Lujan de Cuyo, Mendoza"
